TITLE     = "fluent14.5.0  build-id: 10329"
VARIABLES = "X"
"Y"
"Z"
"Temperature"
DATASETAUXDATA Common.DensityVar="48"
DATASETAUXDATA Common.PressureVar="50"
DATASETAUXDATA Common.TemperatureVar="4"
DATASETAUXDATA Common.UVar="51"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="62"
DATASETAUXDATA Common.VVar="53"
DATASETAUXDATA Common.WVar="55"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=145, J=110, K=3, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -4.128472134E-002 -5.399082601E-002 -1.500000013E-003 3.344526672E+002
 -4.027777910E-002 -5.399082601E-002 -1.500000013E-003 3.349027710E+002
 -3.927083313E-002 -5.399082601E-002 -1.500000013E-003 3.372411499E+002
 -3.826388717E-002 -5.399082601E-002 -1.500000013E-003 3.381553040E+002
 -3.725694492E-002 -5.399082601E-002 -1.500000013E-003 3.384706726E+002
 -3.624999896E-002 -5.399082601E-002 -1.500000013E-003 3.402085266E+002
 -3.524305671E-002 -5.399082601E-002 -1.500000013E-003 3.412229004E+002
 -3.423611075E-002 -5.399082601E-002 -1.500000013E-003 3.417539673E+002
 -3.322916850E-002 -5.399082601E-002 -1.500000013E-003 3.434054260E+002
 -3.222222254E-002 -5.399082601E-002 -1.500000013E-003 3.439805908E+002
 -3.121527843E-002 -5.399082601E-002 -1.500000013E-003 3.452235107E+002
 -3.020833246E-002 -5.399082601E-002 -1.500000013E-003 3.459665833E+002
 -2.920138836E-002 -5.399082601E-002 -1.500000013E-003 3.469710999E+002
 -2.819444425E-002 -5.399082601E-002 -1.500000013E-003 3.478047485E+002
 -2.718750015E-002 -5.399082601E-002 -1.500000013E-003 3.487317200E+002
 -2.618055604E-002 -5.399082601E-002 -1.500000013E-003 3.496312256E+002
 -2.517361194E-002 -5.399082601E-002 -1.500000013E-003 3.503968811E+002
 -2.416666597E-002 -5.399082601E-002 -1.500000013E-003 3.510353088E+002
 -2.315972187E-002 -5.399082601E-002 -1.500000013E-003 3.518218384E+002
 -2.215277776E-002 -5.399082601E-002 -1.500000013E-003 3.523676758E+002
 -2.114583366E-002 -5.399082601E-002 -1.500000013E-003 3.530691528E+002
 -2.013888955E-002 -5.399082601E-002 -1.500000013E-003 3.536123047E+002
 -1.913194358E-002 -5.399082601E-002 -1.500000013E-003 3.541166687E+002
 -1.812499948E-002 -5.399082601E-002 -1.500000013E-003 3.545809631E+002
 -1.711805537E-002 -5.399082601E-002 -1.500000013E-003 3.551668091E+002
 -1.611111127E-002 -5.399082601E-002 -1.500000013E-003 3.555310364E+002
 -1.510416623E-002 -5.399082601E-002 -1.500000013E-003 3.558532104E+002
 -1.409722213E-002 -5.399082601E-002 -1.500000013E-003 3.561325073E+002
 -1.309027802E-002 -5.399082601E-002 -1.500000013E-003 3.563683777E+002
 -1.208333299E-002 -5.399082601E-002 -1.500000013E-003 3.565604553E+002
 -1.107638888E-002 -5.399082601E-002 -1.500000013E-003 3.567566528E+002
 -1.006944478E-002 -5.399082601E-002 -1.500000013E-003 3.568423462E+002
 -9.062499739E-003 -5.399082601E-002 -1.500000013E-003 3.568844299E+002
 -8.055555634E-003 -5.399082601E-002 -1.500000013E-003 3.568830872E+002
 -7.048611064E-003 -5.399082601E-002 -1.500000013E-003 3.568387146E+002
 -6.041666493E-003 -5.399082601E-002 -1.500000013E-003 3.567519226E+002
 -5.034722388E-003 -5.399082601E-002 -1.500000013E-003 3.565578918E+002
 -4.027777817E-003 -5.399082601E-002 -1.500000013E-003 3.563708496E+002
 -3.020833246E-003 -5.399082601E-002 -1.500000013E-003 3.561467896E+002
 -2.013888909E-003 -5.399082601E-002 -1.500000013E-003 3.558636780E+002
 -1.006944454E-003 -5.399082601E-002 -1.500000013E-003 3.554511719E+002
 0.000000000E+000 -5.399082601E-002 -1.500000013E-003 3.551096497E+002
 1.006944454E-003 -5.399082601E-002 -1.500000013E-003 3.546993408E+002
 2.013888909E-003 -5.399082601E-002 -1.500000013E-003 3.543865051E+002
 3.020833246E-003 -5.399082601E-002 -1.500000013E-003 3.537899780E+002
 4.027777817E-003 -5.399082601E-002 -1.500000013E-003 3.533303833E+002
 5.034722388E-003 -5.399082601E-002 -1.500000013E-003 3.527259521E+002
 6.041666493E-003 -5.399082601E-002 -1.500000013E-003 3.522241821E+002
 7.048611064E-003 -5.399082601E-002 -1.500000013E-003 3.514539185E+002
 8.055555634E-003 -5.399082601E-002 -1.500000013E-003 3.510901489E+002
 9.062499739E-003 -5.399082601E-002 -1.500000013E-003 3.499634705E+002
 1.006944478E-002 -5.399082601E-002 -1.500000013E-003 3.496075439E+002
 1.107638888E-002 -5.399082601E-002 -1.500000013E-003 3.490222778E+002
 1.208333299E-002 -5.399082601E-002 -1.500000013E-003 3.476950989E+002
 1.309027802E-002 -5.399082601E-002 -1.500000013E-003 3.474382935E+002
 1.409722213E-002 -5.399082601E-002 -1.500000013E-003 3.470333557E+002
 1.510416623E-002 -5.399082601E-002 -1.500000013E-003 3.453143005E+002
 1.611111127E-002 -5.399082601E-002 -1.500000013E-003 3.447377014E+002
 1.711805537E-002 -5.399082601E-002 -1.500000013E-003 3.446154480E+002
 1.812499948E-002 -5.399082601E-002 -1.500000013E-003 3.439678650E+002
 1.913194358E-002 -5.399082601E-002 -1.500000013E-003 3.419807739E+002
 2.013888955E-002 -5.399082601E-002 -1.500000013E-003 3.412572021E+002
 2.114583366E-002 -5.399082601E-002 -1.500000013E-003 3.411554871E+002
 2.215277776E-002 -5.399082601E-002 -1.500000013E-003 3.409707031E+002
 2.315972187E-002 -5.399082601E-002 -1.500000013E-003 3.396884460E+002
 2.416666597E-002 -5.399082601E-002 -1.500000013E-003 3.376426697E+002
 2.517361194E-002 -5.399082601E-002 -1.500000013E-003 3.370275574E+002
 2.618055604E-002 -5.399082601E-002 -1.500000013E-003 3.369390564E+002
 2.718750015E-002 -5.399082601E-002 -1.500000013E-003 3.368716431E+002
